open,high,low,close,volume,datetime
65.39,65.95,65.28,65.88,319334,2017-08-29 01:00:00-04:00
65.87,66.38,65.82,66.19,439600,2017-08-30 01:00:00-04:00
66.35,67.235,66.22,66.99,424081,2017-08-31 01:00:00-04:00
67.04,67.23,66.79,66.99,746282,2017-09-01 01:00:00-04:00
66.83,67.23,66.48,67.2,554142,2017-09-05 01:00:00-04:00
67.5,67.78,67.27,67.59,557514,2017-09-06 01:00:00-04:00
67.83,67.8632,67.26,67.83,600408,2017-09-07 01:00:00-04:00
67.84,68.26,67.439,67.65,660941,2017-09-08 01:00:00-04:00
67.98,68.58,67.52,68.3,771732,2017-09-11 01:00:00-04:00
68.43,68.66,68.22,68.56,1586414,2017-09-12 01:00:00-04:00
68.39,68.61,68.18,68.53,664986,2017-09-13 01:00:00-04:00
68.45,68.86,68.36,68.72,934072,2017-09-14 01:00:00-04:00
68.65,69.09,68.5,69.08,1078409,2017-09-15 01:00:00-04:00
69.3,69.56,68.92,69.48,757735,2017-09-18 01:00:00-04:00
69.61,69.61,68.98,69.06,957872,2017-09-19 01:00:00-04:00
69.09,69.24,68.65,68.99,562344,2017-09-20 01:00:00-04:00
68.9,68.9,68.1,68.2,659024,2017-09-21 01:00:00-04:00
68.14,68.33,67.8,68.17,378916,2017-09-22 01:00:00-04:00
68.08,68.46,67.89,68.45,339231,2017-09-25 01:00:00-04:00
68.92,69.06,67.51,68.18,547289,2017-09-26 01:00:00-04:00
68.18,68.68,67.835,68.46,388505,2017-09-27 01:00:00-04:00
68.32,68.55,67.87,68.34,330686,2017-09-28 01:00:00-04:00
68.26,69.15,68.07,68.97,432077,2017-09-29 01:00:00-04:00
69.2,69.76,69.05,69.47,611084,2017-10-02 01:00:00-04:00
69.81,70.15,69.35,70.08,719659,2017-10-03 01:00:00-04:00
70.1,70.27,69.86,70.2,595405,2017-10-04 01:00:00-04:00
70.4,70.59,70.06,70.44,423357,2017-10-05 01:00:00-04:00
70.15,70.61,70.07,70.61,300596,2017-10-06 01:00:00-04:00
70.64,70.85,70.35,70.62,1141396,2017-10-09 01:00:00-04:00
70.68,70.99,70.395,70.88,351114,2017-10-10 01:00:00-04:00
70.84,71.81,70.84,71.5,1048067,2017-10-11 01:00:00-04:00
71.54,72.0,71.33,71.81,708116,2017-10-12 01:00:00-04:00
71.93,72.11,71.17,71.39,410175,2017-10-13 01:00:00-04:00
71.63,71.785,71.14,71.25,404319,2017-10-16 01:00:00-04:00
71.13,71.25,69.74,70.41,540404,2017-10-17 01:00:00-04:00
70.7,70.77,70.14,70.19,556953,2017-10-18 01:00:00-04:00
69.98,71.37,69.98,71.32,423304,2017-10-19 01:00:00-04:00
71.59,71.935,71.32,71.73,462010,2017-10-20 01:00:00-04:00
71.73,71.91,71.385,71.64,525972,2017-10-23 01:00:00-04:00
71.92,71.93,71.11,71.61,614476,2017-10-24 01:00:00-04:00
71.92,72.27,70.99,71.42,450451,2017-10-25 01:00:00-04:00
71.47,72.25,71.05,72.1,613797,2017-10-26 01:00:00-04:00
72.21,72.77,71.47,72.72,583441,2017-10-27 01:00:00-04:00
72.4,72.82,71.595,71.83,508265,2017-10-30 01:00:00-04:00
71.96,72.62,71.79,72.32,607879,2017-10-31 01:00:00-04:00
72.75,73.05,72.27,72.27,519148,2017-11-01 01:00:00-04:00
71.99,72.62,71.82,72.07,695519,2017-11-02 01:00:00-04:00
72.07,72.28,70.37,70.62,863668,2017-11-03 01:00:00-04:00
70.51,70.93,70.1,70.55,761489,2017-11-06 01:00:00-05:00
70.69,71.16,70.38,71.13,971505,2017-11-07 01:00:00-05:00
71.04,71.72,70.78,71.48,472232,2017-11-08 01:00:00-05:00
70.89,71.52,70.67,71.46,523836,2017-11-09 01:00:00-05:00
71.3,71.49,71.15,71.33,1027651,2017-11-10 01:00:00-05:00
70.95,71.5,70.82,71.27,512185,2017-11-13 01:00:00-05:00
71.01,71.66,70.86,71.61,671583,2017-11-14 01:00:00-05:00
71.49,71.68,70.87,71.13,883701,2017-11-15 01:00:00-05:00
71.33,72.46,71.05,72.3,567140,2017-11-16 01:00:00-05:00
72.05,72.46,71.68,72.31,614116,2017-11-17 01:00:00-05:00
72.27,72.79,72.175,72.75,556003,2017-11-20 01:00:00-05:00
72.84,73.4299,72.58,73.26,925271,2017-11-21 01:00:00-05:00
73.29,73.307,72.85,73.04,325754,2017-11-22 01:00:00-05:00
73.26,73.37,73.0,73.36,248426,2017-11-24 01:00:00-05:00
73.16,73.74,73.07,73.56,480759,2017-11-27 01:00:00-05:00
73.86,73.96,73.17,73.8,457117,2017-11-28 01:00:00-05:00
73.8,74.11,73.01,73.18,520026,2017-11-29 01:00:00-05:00
73.52,73.98,73.06,73.68,1005407,2017-11-30 01:00:00-05:00
73.62,73.86,71.86,73.12,467175,2017-12-01 01:00:00-05:00
73.3,73.3,69.78,69.78,879888,2017-12-04 01:00:00-05:00
70.03,70.56,69.22,69.36,652260,2017-12-05 01:00:00-05:00
69.46,69.7,69.21,69.54,616114,2017-12-06 01:00:00-05:00
69.66,70.46,69.31,70.11,693189,2017-12-07 01:00:00-05:00
70.28,71.31,70.15,71.03,760550,2017-12-08 01:00:00-05:00
71.01,71.43,70.38,70.81,418753,2017-12-11 01:00:00-05:00
70.84,71.2,70.62,71.12,546904,2017-12-12 01:00:00-05:00
71.42,71.95,71.235,71.31,624393,2017-12-13 01:00:00-05:00
71.35,71.71,70.44,70.83,708122,2017-12-14 01:00:00-05:00
71.22,72.39,71.22,72.13,1165421,2017-12-15 01:00:00-05:00
