open,high,low,close,volume,datetime
71.37,71.41,70.58,70.86,2040720,2017-05-09 01:00:00-04:00
70.99,71.47,69.985,70.17,2878562,2017-05-10 01:00:00-04:00
69.88,70.2654,69.25,69.78,1655735,2017-05-11 01:00:00-04:00
69.53,69.88,68.87,69.35,1557725,2017-05-12 01:00:00-04:00
69.29,69.8199,68.6811,69.47,1051637,2017-05-15 01:00:00-04:00
69.33,69.75,69.29,69.6,1288631,2017-05-16 01:00:00-04:00
69.04,69.546,67.47,67.84,2000063,2017-05-17 01:00:00-04:00
67.7,68.99,67.5,68.06,1783422,2017-05-18 01:00:00-04:00
68.16,68.16,67.08,67.36,2306655,2017-05-19 01:00:00-04:00
67.38,68.1,67.255,68.08,1453669,2017-05-22 01:00:00-04:00
68.15,68.36,67.74,68.34,885303,2017-05-23 01:00:00-04:00
68.43,68.61,68.01,68.38,1190131,2017-05-24 01:00:00-04:00
68.12,68.38,67.64,67.91,1894096,2017-05-25 01:00:00-04:00
67.73,67.98,66.965,67.04,1303220,2017-05-26 01:00:00-04:00
67.09,67.62,66.6,67.27,1613308,2017-05-30 01:00:00-04:00
67.01,67.18,66.33,67.01,2353708,2017-05-31 01:00:00-04:00
67.31,67.72,66.92,67.58,1584698,2017-06-01 01:00:00-04:00
67.63,67.97,67.32,67.62,1038832,2017-06-02 01:00:00-04:00
67.41,67.93,67.22,67.26,1036043,2017-06-05 01:00:00-04:00
67.14,67.36,66.73,67.12,736125,2017-06-06 01:00:00-04:00
67.32,67.39,66.99,67.23,932909,2017-06-07 01:00:00-04:00
67.18,67.38,66.9,66.97,1237236,2017-06-08 01:00:00-04:00
66.86,67.91,66.78,67.86,1026211,2017-06-09 01:00:00-04:00
67.77,69.1,67.68,68.82,1557402,2017-06-12 01:00:00-04:00
69.08,69.32,68.66,69.09,1083245,2017-06-13 01:00:00-04:00
69.3,69.33,67.78,67.84,1288479,2017-06-14 01:00:00-04:00
67.49,69.5,67.49,69.45,1559057,2017-06-15 01:00:00-04:00
69.19,70.13,69.19,70.04,2388695,2017-06-16 01:00:00-04:00
70.0,70.4,69.66,70.1,1079114,2017-06-19 01:00:00-04:00
69.99,70.05,68.39,68.4,1061076,2017-06-20 01:00:00-04:00
68.28,69.82,67.0,67.17,1469779,2017-06-21 01:00:00-04:00
67.19,68.03,66.96,67.3,1324760,2017-06-22 01:00:00-04:00
67.31,67.74,66.96,66.99,1249663,2017-06-23 01:00:00-04:00
67.16,67.69,66.821,67.58,842979,2017-06-26 01:00:00-04:00
67.6,68.0,67.29,67.33,914021,2017-06-27 01:00:00-04:00
67.74,68.27,67.29,67.33,1487829,2017-06-28 01:00:00-04:00
67.33,67.635,67.15,67.55,1188563,2017-06-29 01:00:00-04:00
67.76,68.95,67.65,68.68,1115572,2017-06-30 01:00:00-04:00
69.13,70.48,68.88,70.08,0,2017-07-03 01:00:00-04:00
69.92,70.05,68.73,68.76,1665997,2017-07-05 01:00:00-04:00
68.48,68.48,67.64,67.68,1375380,2017-07-06 01:00:00-04:00
67.83,68.17,67.47,67.97,1147949,2017-07-07 01:00:00-04:00
68.03,69.02,67.88,68.23,1158604,2017-07-10 01:00:00-04:00
68.47,68.62,67.77,68.6,945599,2017-07-11 01:00:00-04:00
68.96,69.2,68.58,68.87,1158604,2017-07-12 01:00:00-04:00
68.8,68.84,68.24,68.76,945129,2017-07-13 01:00:00-04:00
69.07,69.65,68.73,69.46,964446,2017-07-14 01:00:00-04:00
68.09,69.05,67.85,68.89,2382872,2017-07-17 01:00:00-04:00
68.88,69.55,68.56,69.5,1527244,2017-07-18 01:00:00-04:00
69.53,70.05,68.57,68.69,2404051,2017-07-19 01:00:00-04:00
63.615,65.34,63.41,65.01,8858406,2017-07-20 01:00:00-04:00
64.82,65.83,64.82,65.56,3162478,2017-07-21 01:00:00-04:00
65.7,65.75,65.13,65.62,1798898,2017-07-24 01:00:00-04:00
66.1,66.57,65.65,65.93,2578773,2017-07-25 01:00:00-04:00
67.29,67.465,65.64,65.91,1711875,2017-07-26 01:00:00-04:00
65.94,65.94,65.02,65.46,1981441,2017-07-27 01:00:00-04:00
65.49,65.85,64.975,65.25,1401629,2017-07-28 01:00:00-04:00
65.29,65.89,65.29,65.6,1323905,2017-07-31 01:00:00-04:00
65.65,65.76,64.61,64.98,1542674,2017-08-01 01:00:00-04:00
65.03,65.84,64.97,65.61,1053237,2017-08-02 01:00:00-04:00
65.41,65.73,64.93,65.7,1107023,2017-08-03 01:00:00-04:00
65.78,67.41,65.655,67.22,2295510,2017-08-04 01:00:00-04:00
67.12,67.385,66.07,66.54,2561616,2017-08-07 01:00:00-04:00
66.38,66.985,66.02,66.75,1668301,2017-08-08 01:00:00-04:00
66.65,66.68,65.96,66.13,1885979,2017-08-09 01:00:00-04:00
66.0,66.3,65.549,66.11,1890711,2017-08-10 01:00:00-04:00
66.59,66.67,65.57,65.63,1289588,2017-08-11 01:00:00-04:00
65.86,67.275,65.79,67.14,1786306,2017-08-14 01:00:00-04:00
67.2,68.24,66.99,68.02,1741529,2017-08-15 01:00:00-04:00
68.28,68.91,67.4585,68.01,1573712,2017-08-16 01:00:00-04:00
67.8,68.53,66.83,66.89,1480043,2017-08-17 01:00:00-04:00
66.91,67.25,66.57,66.78,2777593,2017-08-18 01:00:00-04:00
66.96,66.96,66.1443,66.86,1518114,2017-08-21 01:00:00-04:00
66.85,67.19,66.53,67.1,1078244,2017-08-22 01:00:00-04:00
66.99,67.17,66.43,67.09,939287,2017-08-23 01:00:00-04:00
67.29,67.74,66.76,66.87,1070602,2017-08-24 01:00:00-04:00
67.06,69.37,66.87,69.07,2003875,2017-08-25 01:00:00-04:00
69.5,71.12,69.4,71.05,3135906,2017-08-28 01:00:00-04:00
70.69,72.2,70.57,71.57,2945777,2017-08-29 01:00:00-04:00
72.3,74.54,72.26,73.06,4058920,2017-08-30 01:00:00-04:00
73.0,73.06,70.58,70.63,2689769,2017-08-31 01:00:00-04:00
70.69,71.01,70.12,70.17,1397857,2017-09-01 01:00:00-04:00
70.93,72.189,70.93,71.79,1948366,2017-09-05 01:00:00-04:00
72.09,73.189,71.865,72.77,2167572,2017-09-06 01:00:00-04:00
72.77,73.61,72.68,73.27,1369203,2017-09-07 01:00:00-04:00
73.25,73.99,72.88,73.74,805064,2017-09-08 01:00:00-04:00
73.68,73.975,72.17,72.83,2013260,2017-09-11 01:00:00-04:00
72.69,73.28,72.1375,72.79,1245721,2017-09-12 01:00:00-04:00
72.91,72.91,72.15,72.275,1324604,2017-09-13 01:00:00-04:00
71.87,71.875,70.22,70.77,3375476,2017-09-14 01:00:00-04:00
70.65,71.56,70.23,71.45,2340120,2017-09-15 01:00:00-04:00
71.6,72.3,71.305,72.25,1155647,2017-09-18 01:00:00-04:00
72.37,72.87,72.15,72.6,1041167,2017-09-19 01:00:00-04:00
72.95,73.26,72.35,72.79,1852773,2017-09-20 01:00:00-04:00
72.87,73.395,72.52,73.0,1051307,2017-09-21 01:00:00-04:00
73.16,73.8,72.8,73.13,1098037,2017-09-22 01:00:00-04:00
73.29,73.94,72.92,73.92,1043687,2017-09-25 01:00:00-04:00
74.0,75.11,73.49,74.89,1945349,2017-09-26 01:00:00-04:00
75.17,75.73,74.93,75.68,2092761,2017-09-27 01:00:00-04:00
75.69,76.01,75.25,75.48,974758,2017-09-28 01:00:00-04:00
75.37,76.16,75.25,76.1,1348564,2017-09-29 01:00:00-04:00
76.28,77.38,75.62,77.3,1999740,2017-10-02 01:00:00-04:00
76.97,77.08,76.05,76.13,2355352,2017-10-03 01:00:00-04:00
76.04,76.15,74.3,75.02,1979359,2017-10-04 01:00:00-04:00
74.79,76.15,74.61,76.05,1869144,2017-10-05 01:00:00-04:00
75.93,76.57,75.665,76.52,1283807,2017-10-06 01:00:00-04:00
76.55,76.73,75.39,75.45,819552,2017-10-09 01:00:00-04:00
77.74,78.86,76.86,77.09,2526973,2017-10-10 01:00:00-04:00
76.99,77.43,76.43,76.7,857909,2017-10-11 01:00:00-04:00
76.93,77.25,76.41,77.18,1062335,2017-10-12 01:00:00-04:00
78.58,78.94,77.15,77.26,1655338,2017-10-13 01:00:00-04:00
78.13,78.7,76.47,77.33,1553186,2017-10-16 01:00:00-04:00
77.06,77.3,75.95,76.02,1586799,2017-10-17 01:00:00-04:00
75.95,77.67,75.93,77.34,1600981,2017-10-18 01:00:00-04:00
77.26,78.045,76.75,77.98,712644,2017-10-19 01:00:00-04:00
78.38,78.7,77.62,78.3,1471007,2017-10-20 01:00:00-04:00
78.68,78.715,77.79,78.43,1052527,2017-10-23 01:00:00-04:00
78.73,79.65,77.08,78.83,1218294,2017-10-24 01:00:00-04:00
78.43,78.91,77.94,78.6,1221042,2017-10-25 01:00:00-04:00
79.63,80.83,79.16,79.59,2095430,2017-10-26 01:00:00-04:00
80.08,80.08,78.5,79.82,1649002,2017-10-27 01:00:00-04:00
79.67,80.03,78.02,78.35,1665780,2017-10-30 01:00:00-04:00
78.3,79.33,78.3,78.53,2280636,2017-10-31 01:00:00-04:00
80.9,80.94,77.83,79.33,3029706,2017-11-01 01:00:00-04:00
80.15,81.35,78.6,79.55,4220585,2017-11-02 01:00:00-04:00
79.5,80.14,78.99,79.44,2348559,2017-11-03 01:00:00-04:00
79.45,79.66,78.32,79.08,2183166,2017-11-06 01:00:00-05:00
79.49,80.8,79.1,80.5,2410823,2017-11-07 01:00:00-05:00
80.26,80.93,79.995,80.63,1567423,2017-11-08 01:00:00-05:00
80.21,81.09,80.14,80.68,2254919,2017-11-09 01:00:00-05:00
80.31,80.48,80.04,80.33,1115846,2017-11-10 01:00:00-05:00
80.34,80.5,79.79,80.36,1185952,2017-11-13 01:00:00-05:00
80.1,80.61,80.0,80.37,1016525,2017-11-14 01:00:00-05:00
80.1,80.19,79.52,79.95,1103824,2017-11-15 01:00:00-05:00
80.07,80.53,79.95,80.4,924803,2017-11-16 01:00:00-05:00
78.75,79.3099,77.52,78.44,2570526,2017-11-17 01:00:00-05:00
78.61,78.94,78.23,78.43,1345557,2017-11-20 01:00:00-05:00
78.58,79.0,78.3,78.79,1314633,2017-11-21 01:00:00-05:00
78.71,79.77,78.7,79.24,896786,2017-11-22 01:00:00-05:00
79.45,79.92,77.9,79.67,325519,2017-11-24 01:00:00-05:00
79.5,80.04,79.36,79.54,1067986,2017-11-27 01:00:00-05:00
80.2,81.63,79.72,81.53,1405490,2017-11-28 01:00:00-05:00
81.4,84.56,81.14,84.49,2180711,2017-11-29 01:00:00-05:00
84.35,87.17,84.35,86.65,3268456,2017-11-30 01:00:00-05:00
86.6,87.025,84.56,86.54,2029013,2017-12-01 01:00:00-05:00
87.55,89.11,86.58,86.76,2544671,2017-12-04 01:00:00-05:00
86.93,87.37,85.71,85.92,1632279,2017-12-05 01:00:00-05:00
85.72,87.33,85.46,87.15,1479818,2017-12-06 01:00:00-05:00
86.85,87.75,86.43,87.42,1708874,2017-12-07 01:00:00-05:00
87.41,88.41,87.1,88.38,1251442,2017-12-08 01:00:00-05:00
88.28,88.4199,87.61,87.97,963171,2017-12-11 01:00:00-05:00
88.19,88.44,87.42,88.0,912938,2017-12-12 01:00:00-05:00
88.09,88.54,87.58,87.77,1523452,2017-12-13 01:00:00-05:00
88.05,88.05,85.62,85.79,2319452,2017-12-14 01:00:00-05:00
85.6,86.75,85.19,86.21,3197453,2017-12-15 01:00:00-05:00
86.88,87.79,86.36,87.16,1819823,2017-12-18 01:00:00-05:00
86.78,87.31,86.42,86.63,1093921,2017-12-19 01:00:00-05:00
87.32,87.66,86.72,86.75,1250849,2017-12-20 01:00:00-05:00
86.98,87.26,86.36,87.13,946693,2017-12-21 01:00:00-05:00
87.22,89.24,86.89,88.7,1352043,2017-12-22 01:00:00-05:00
88.6,89.72,88.46,88.79,741034,2017-12-26 01:00:00-05:00
88.97,89.795,88.215,89.5,674476,2017-12-27 01:00:00-05:00
89.51,89.55,88.37,89.46,756059,2017-12-28 01:00:00-05:00
89.7,89.89,89.05,89.09,637881,2017-12-29 01:00:00-05:00
89.74,90.079,88.82,89.74,988833,2018-01-02 01:00:00-05:00
89.18,89.6,88.45,89.49,1214307,2018-01-03 01:00:00-05:00
90.34,90.61,89.18,89.72,1610755,2018-01-04 01:00:00-05:00
90.08,90.665,89.23,89.57,902520,2018-01-05 01:00:00-05:00
89.39,91.21,89.39,90.78,1083300,2018-01-08 01:00:00-05:00
90.91,92.41,90.91,91.46,1932576,2018-01-09 01:00:00-05:00
91.38,92.4,91.085,91.44,1043081,2018-01-10 01:00:00-05:00
91.69,94.005,91.68,93.92,1060314,2018-01-11 01:00:00-05:00
94.03,94.51,93.22,94.28,983297,2018-01-12 01:00:00-05:00
94.5,94.96,92.78,92.97,1601263,2018-01-16 01:00:00-05:00
93.27,93.625,92.69,92.98,1104289,2018-01-17 01:00:00-05:00
93.13,94.55,92.34,93.68,1378418,2018-01-18 01:00:00-05:00
94.04,95.28,93.59,95.16,1622302,2018-01-19 01:00:00-05:00
94.87,95.67,94.09,95.43,972481,2018-01-22 01:00:00-05:00
95.23,95.65,94.33,94.9,1021518,2018-01-23 01:00:00-05:00
95.12,96.52,94.32,96.18,1765635,2018-01-24 01:00:00-05:00
96.65,98.66,96.32,96.53,2246832,2018-01-25 01:00:00-05:00
97.34,100.18,96.58,96.73,2835747,2018-01-26 01:00:00-05:00
96.29,97.63,96.07,96.31,2123159,2018-01-29 01:00:00-05:00
95.75,96.83,94.82,94.93,3124657,2018-01-30 01:00:00-05:00
91.94,95.89,90.31,91.46,7558735,2018-01-31 01:00:00-05:00
91.25,92.68,90.1756,91.98,2107356,2018-02-01 01:00:00-05:00
91.17,92.26,90.56,91.79,2046080,2018-02-02 01:00:00-05:00
91.24,92.12,90.29,90.33,2989152,2018-02-05 01:00:00-05:00
88.98,91.38,88.0368,90.77,2467031,2018-02-06 01:00:00-05:00
90.47,93.645,90.47,92.57,2069344,2018-02-07 01:00:00-05:00
92.67,93.14,90.47,90.47,1641312,2018-02-08 01:00:00-05:00
90.84,91.26,87.161,89.35,2591415,2018-02-09 01:00:00-05:00
89.9,91.33,89.36,91.18,1357120,2018-02-12 01:00:00-05:00
90.77,93.25,90.4,92.72,1182067,2018-02-13 01:00:00-05:00
90.72,93.22,90.04,92.43,1482291,2018-02-14 01:00:00-05:00
92.54,92.95,91.44,92.95,1382891,2018-02-15 01:00:00-05:00
92.88,93.51,92.33,92.62,876159,2018-02-16 01:00:00-05:00
92.5,92.96,89.64,89.97,1204381,2018-02-20 01:00:00-05:00
90.01,91.565,90.01,90.18,1219977,2018-02-21 01:00:00-05:00
90.61,91.07,89.86,90.09,982201,2018-02-22 01:00:00-05:00
90.32,92.67,90.151,92.63,1003426,2018-02-23 01:00:00-05:00
93.0,94.67,92.415,94.63,854077,2018-02-26 01:00:00-05:00
94.81,95.67,93.46,93.47,1147471,2018-02-27 01:00:00-05:00
93.72,94.69,92.99,93.36,1573022,2018-02-28 01:00:00-05:00
92.71,93.19,89.54,89.7,1863346,2018-03-01 01:00:00-05:00
88.54,89.95,88.15,89.51,1418570,2018-03-02 01:00:00-05:00
89.21,89.97,87.75,89.78,1303700,2018-03-05 01:00:00-05:00
90.17,90.84,89.64,89.99,941156,2018-03-06 01:00:00-05:00
89.11,90.23,87.95,90.01,1183496,2018-03-07 01:00:00-05:00
90.13,90.38,89.24,89.6,1045720,2018-03-08 01:00:00-05:00
90.01,91.79,89.26,91.74,1630576,2018-03-09 01:00:00-05:00
92.04,92.51,90.7,91.03,783624,2018-03-12 01:00:00-04:00
91.41,92.27,90.955,91.71,937042,2018-03-13 01:00:00-04:00
91.76,91.81,89.59,89.74,946788,2018-03-14 01:00:00-04:00
89.98,90.73,89.7,90.28,752521,2018-03-15 01:00:00-04:00
90.61,92.45,90.08,92.14,1817346,2018-03-16 01:00:00-04:00
92.12,94.06,91.86,92.63,1255749,2018-03-19 01:00:00-04:00
92.87,93.63,92.05,93.07,716245,2018-03-20 01:00:00-04:00
93.1,94.43,93.04,93.62,904693,2018-03-21 01:00:00-04:00
92.88,93.95,91.21,92.66,1229035,2018-03-22 01:00:00-04:00
92.58,93.32,90.79,90.86,1517578,2018-03-23 01:00:00-04:00
91.94,93.05,91.685,92.76,927021,2018-03-26 01:00:00-04:00
92.93,93.71,91.25,91.56,943444,2018-03-27 01:00:00-04:00
91.76,92.2,90.655,91.69,847195,2018-03-28 01:00:00-04:00
91.88,94.13,91.88,93.71,1333236,2018-03-29 01:00:00-04:00
93.53,93.69,91.63,92.23,1614137,2018-04-02 01:00:00-04:00
92.6,93.68,92.2,93.63,1298477,2018-04-03 01:00:00-04:00
92.58,94.58,92.43,94.36,1114916,2018-04-04 01:00:00-04:00
94.96,94.98,92.24,93.29,1688406,2018-04-05 01:00:00-04:00
92.76,93.1,89.76,90.48,1507323,2018-04-06 01:00:00-04:00
90.63,92.49,90.45,91.57,1083152,2018-04-09 01:00:00-04:00
92.87,94.38,92.7,94.12,1655616,2018-04-10 01:00:00-04:00
93.65,94.28,93.13,93.95,728779,2018-04-11 01:00:00-04:00
94.24,96.31,94.15,95.41,1218676,2018-04-12 01:00:00-04:00
95.43,95.99,93.88,94.27,1290330,2018-04-13 01:00:00-04:00
97.05,98.66,96.03,97.62,2290926,2018-04-16 01:00:00-04:00
98.34,98.5,95.22,96.03,1794318,2018-04-17 01:00:00-04:00
96.58,96.58,94.94,94.94,1834730,2018-04-18 01:00:00-04:00
94.49,95.32,94.0801,94.29,2094791,2018-04-19 01:00:00-04:00
94.62,94.63,93.17,93.68,1151516,2018-04-20 01:00:00-04:00
93.51,94.36,93.02,93.71,1047971,2018-04-23 01:00:00-04:00
94.24,94.55,91.5,92.36,1267365,2018-04-24 01:00:00-04:00
92.55,93.115,92.16,92.59,1180025,2018-04-25 01:00:00-04:00
93.07,93.325,90.29,91.32,1882355,2018-04-26 01:00:00-04:00
91.28,92.16,90.76,92.0,972789,2018-04-27 01:00:00-04:00
92.09,92.74,91.81,92.03,1455982,2018-04-30 01:00:00-04:00
92.04,92.185,90.13,90.65,1660082,2018-05-01 01:00:00-04:00
84.5,86.65,82.49,82.9,4962308,2018-05-02 01:00:00-04:00
82.38,83.83,80.83,82.6,2740426,2018-05-03 01:00:00-04:00
81.65,82.86,80.88,82.54,1449927,2018-05-04 01:00:00-04:00
82.56,83.23,81.99,82.43,1203441,2018-05-07 01:00:00-04:00
82.58,84.49,82.37,83.93,1712620,2018-05-08 01:00:00-04:00
84.07,84.56,83.25,83.49,1376645,2018-05-09 01:00:00-04:00
83.81,84.73,83.581,84.58,1506148,2018-05-10 01:00:00-04:00
84.8,86.81,84.6,86.44,1383141,2018-05-11 01:00:00-04:00
86.64,86.96,85.28,85.68,1045319,2018-05-14 01:00:00-04:00
85.35,85.71,84.74,85.18,1454851,2018-05-15 01:00:00-04:00
85.22,86.09,85.09,85.74,1025040,2018-05-16 01:00:00-04:00
85.86,87.97,85.7772,87.56,1729265,2018-05-17 01:00:00-04:00
87.49,89.24,87.27,88.5,1752590,2018-05-18 01:00:00-04:00
88.77,90.22,88.5,89.91,947760,2018-05-21 01:00:00-04:00
89.77,90.235,88.17,88.35,1229390,2018-05-22 01:00:00-04:00
87.99,87.99,86.84,87.44,1615386,2018-05-23 01:00:00-04:00
87.49,88.25,87.42,88.0,928976,2018-05-24 01:00:00-04:00
87.81,88.39,87.68,88.23,670926,2018-05-25 01:00:00-04:00
87.91,88.2575,86.82,87.93,963251,2018-05-29 01:00:00-04:00
88.35,90.05,88.23,89.43,941990,2018-05-30 01:00:00-04:00
88.95,89.1483,86.94,87.0,1295276,2018-05-31 01:00:00-04:00
87.62,88.27,87.01,87.52,1113866,2018-06-01 01:00:00-04:00
87.34,88.6,87.09,87.96,3034093,2018-06-04 01:00:00-04:00
88.27,88.6,87.51,87.84,1822627,2018-06-05 01:00:00-04:00
87.72,88.12,87.21,87.8,1487836,2018-06-06 01:00:00-04:00
88.21,88.51,87.8,87.99,962469,2018-06-07 01:00:00-04:00
87.91,88.59,87.82,88.32,1211975,2018-06-08 01:00:00-04:00
88.47,89.18,88.01,88.68,1023126,2018-06-11 01:00:00-04:00
