open,high,low,close,volume,datetime
81.25,83.4,80.6,83.15,2043190,2016-12-07 01:00:00-05:00
83.36,85.82,82.51,85.78,2448590,2016-12-08 01:00:00-05:00
85.64,86.38,85.3579,86.19,1511100,2016-12-09 01:00:00-05:00
85.67,85.719,84.66,85.56,2340379,2016-12-12 01:00:00-05:00
85.85,86.32,85.14,85.5,1670976,2016-12-13 01:00:00-05:00
85.5,86.7,85.43,85.72,1824163,2016-12-14 01:00:00-05:00
84.72,86.835,84.33,85.54,3598507,2016-12-15 01:00:00-05:00
85.43,85.76,83.72,84.03,2344235,2016-12-16 01:00:00-05:00
83.19,83.8,81.95,82.55,1432637,2016-12-19 01:00:00-05:00
83.16,86.24,82.865,85.4,2191116,2016-12-20 01:00:00-05:00
84.97,85.35,84.43,85.21,1140514,2016-12-21 01:00:00-05:00
84.96,84.96,83.34,84.24,1624173,2016-12-22 01:00:00-05:00
84.23,84.35,83.19,84.25,648460,2016-12-23 01:00:00-05:00
84.4,85.14,83.76,83.8,536809,2016-12-27 01:00:00-05:00
83.98,84.09,82.86,83.02,871583,2016-12-28 01:00:00-05:00
83.17,83.35,82.4,82.96,869672,2016-12-29 01:00:00-05:00
83.24,83.5,81.59,82.04,1074313,2016-12-30 01:00:00-05:00
82.72,84.57,82.72,83.87,1739482,2017-01-03 01:00:00-05:00
83.92,85.2,83.52,84.5,1691293,2017-01-04 01:00:00-05:00
84.6,85.5,84.46,85.0,1409480,2017-01-05 01:00:00-05:00
85.28,85.38,84.235,84.33,1451059,2017-01-06 01:00:00-05:00
84.36,85.11,84.05,84.55,1333520,2017-01-09 01:00:00-05:00
84.77,86.78,84.36,85.93,1531155,2017-01-10 01:00:00-05:00
85.9,86.67,85.02,86.62,1121795,2017-01-11 01:00:00-05:00
86.43,86.47,84.78,85.89,1370464,2017-01-12 01:00:00-05:00
85.63,86.03,84.89,85.09,1108394,2017-01-13 01:00:00-05:00
84.88,85.11,84.03,84.99,1015839,2017-01-17 01:00:00-05:00
84.9,86.35,84.05,85.51,1401501,2017-01-18 01:00:00-05:00
84.72,85.94,84.26,84.56,1759170,2017-01-19 01:00:00-05:00
84.83,86.54,84.5,85.04,2201689,2017-01-20 01:00:00-05:00
84.97,85.18,84.52,84.96,2373939,2017-01-23 01:00:00-05:00
85.22,86.36,85.16,86.03,3030881,2017-01-24 01:00:00-05:00
86.75,88.23,86.48,87.67,3403365,2017-01-25 01:00:00-05:00
93.05,96.09,92.28,95.64,7610481,2017-01-26 01:00:00-05:00
95.52,95.6,93.79,94.56,3285812,2017-01-27 01:00:00-05:00
95.23,95.74,93.62,94.4,2137329,2017-01-30 01:00:00-05:00
94.42,94.46,92.65,93.63,1884717,2017-01-31 01:00:00-05:00
93.94,95.02,93.63,94.33,2154880,2017-02-01 01:00:00-05:00
94.21,94.82,93.61,94.03,1336668,2017-02-02 01:00:00-05:00
94.01,95.28,93.96,94.52,1578223,2017-02-03 01:00:00-05:00
94.18,95.14,94.08,94.81,1226020,2017-02-06 01:00:00-05:00
95.21,95.5,94.57,95.03,1131355,2017-02-07 01:00:00-05:00
94.99,95.37,94.58,94.97,1495891,2017-02-08 01:00:00-05:00
95.13,95.47,94.7711,95.37,1348190,2017-02-09 01:00:00-05:00
95.43,96.22,94.94,95.84,1341050,2017-02-10 01:00:00-05:00
96.49,97.03,96.1,96.5,1177461,2017-02-13 01:00:00-05:00
96.44,97.07,96.22,96.52,906714,2017-02-14 01:00:00-05:00
96.14,97.42,95.68,96.75,1357007,2017-02-15 01:00:00-05:00
96.68,96.85,95.42,95.93,1303085,2017-02-16 01:00:00-05:00
95.7,95.82,94.43,95.21,1495032,2017-02-17 01:00:00-05:00
95.22,96.05,94.93,95.49,1632842,2017-02-21 01:00:00-05:00
95.46,96.21,95.0,95.95,2058303,2017-02-22 01:00:00-05:00
96.55,97.39,95.42,95.53,1487550,2017-02-23 01:00:00-05:00
95.63,96.15,94.65,96.15,1215616,2017-02-24 01:00:00-05:00
95.96,96.89,95.57,96.69,1403533,2017-02-27 01:00:00-05:00
96.65,97.15,96.08,96.1,1284841,2017-02-28 01:00:00-05:00
96.87,97.67,96.53,97.31,1247753,2017-03-01 01:00:00-05:00
97.48,97.48,96.77,97.18,828629,2017-03-02 01:00:00-05:00
96.42,97.07,94.661,95.48,1827643,2017-03-03 01:00:00-05:00
94.62,94.98,93.4,94.81,1564154,2017-03-06 01:00:00-05:00
94.67,94.91,94.07,94.54,1361265,2017-03-07 01:00:00-05:00
95.05,96.09,94.86,95.37,1513277,2017-03-08 01:00:00-05:00
95.91,96.13,94.89,95.5,847233,2017-03-09 01:00:00-05:00
95.75,97.72,95.75,97.25,1672998,2017-03-10 01:00:00-05:00
97.51,97.65,96.4,96.89,1165276,2017-03-13 01:00:00-04:00
96.78,96.82,95.44,95.94,1040440,2017-03-14 01:00:00-04:00
96.18,97.0,95.86,96.75,781795,2017-03-15 01:00:00-04:00
96.9,97.24,96.45,96.99,841069,2017-03-16 01:00:00-04:00
