open,high,low,close,volume,datetime
86.24,88.87,86.24,88.8,805174,2016-12-07 01:00:00-05:00
90.0,92.24,89.31,91.8,1564406,2016-12-08 01:00:00-05:00
91.68,91.68,90.13,90.69,861703,2016-12-09 01:00:00-05:00
90.9,91.6,90.66,91.32,710694,2016-12-12 01:00:00-05:00
91.47,91.74,90.29,91.12,974030,2016-12-13 01:00:00-05:00
91.15,91.7999,89.88,89.94,1428645,2016-12-14 01:00:00-05:00
90.34,90.79,89.32,89.82,811192,2016-12-15 01:00:00-05:00
90.05,90.51,88.08,89.23,1625811,2016-12-16 01:00:00-05:00
89.46,89.66,88.38,89.0,811221,2016-12-19 01:00:00-05:00
89.1,89.81,88.67,89.34,460213,2016-12-20 01:00:00-05:00
89.34,89.99,89.08,89.28,396137,2016-12-21 01:00:00-05:00
89.0,89.53,88.21,88.42,379060,2016-12-22 01:00:00-05:00
88.48,88.85,87.72,88.82,226874,2016-12-23 01:00:00-05:00
88.89,89.46,88.6,89.01,228936,2016-12-27 01:00:00-05:00
89.05,89.41,86.5,86.58,604161,2016-12-28 01:00:00-05:00
86.73,87.14,86.31,87.07,355199,2016-12-29 01:00:00-05:00
87.34,87.74,85.6,86.08,470078,2016-12-30 01:00:00-05:00
87.15,88.115,86.98,88.05,975594,2017-01-03 01:00:00-05:00
88.72,91.15,88.69,90.7,1147617,2017-01-04 01:00:00-05:00
90.64,91.39,89.73,90.39,913202,2017-01-05 01:00:00-05:00
90.62,91.0,89.86,90.81,550924,2017-01-06 01:00:00-05:00
90.73,90.98,90.37,90.48,936082,2017-01-09 01:00:00-05:00
90.86,91.17,89.09,89.88,825022,2017-01-10 01:00:00-05:00
90.57,94.13,90.08,93.3,1807512,2017-01-11 01:00:00-05:00
93.53,94.31,92.2,93.75,1042241,2017-01-12 01:00:00-05:00
94.17,94.94,93.34,94.0,603367,2017-01-13 01:00:00-05:00
95.14,95.79,93.91,94.35,844809,2017-01-17 01:00:00-05:00
94.84,95.01,92.3,92.6,1104758,2017-01-18 01:00:00-05:00
92.75,94.41,92.54,93.05,609555,2017-01-19 01:00:00-05:00
93.56,94.05,92.84,93.36,701571,2017-01-20 01:00:00-05:00
93.38,93.91,92.85,93.7,349404,2017-01-23 01:00:00-05:00
93.94,95.84,93.71,95.55,921858,2017-01-24 01:00:00-05:00
95.82,95.86,93.25,94.0,1083689,2017-01-25 01:00:00-05:00
94.09,95.89,94.04,95.48,796465,2017-01-26 01:00:00-05:00
95.34,95.87,94.76,95.42,452959,2017-01-27 01:00:00-05:00
94.79,94.85,93.51,94.57,677403,2017-01-30 01:00:00-05:00
94.61,94.675,92.52,92.64,1453745,2017-01-31 01:00:00-05:00
93.19,93.64,91.66,93.41,855154,2017-02-01 01:00:00-05:00
93.4,93.4,91.5,92.91,589377,2017-02-02 01:00:00-05:00
93.38,94.45,93.0,94.27,446840,2017-02-03 01:00:00-05:00
94.04,94.47,93.77,94.29,478070,2017-02-06 01:00:00-05:00
94.0,94.45,92.26,92.8,756853,2017-02-07 01:00:00-05:00
92.91,94.39,92.2,94.35,661576,2017-02-08 01:00:00-05:00
94.39,94.85,93.65,93.91,498796,2017-02-09 01:00:00-05:00
94.45,94.45,93.27,93.7,637821,2017-02-10 01:00:00-05:00
94.33,95.41,93.65,94.75,660451,2017-02-13 01:00:00-05:00
94.37,94.37,90.35,91.19,1654798,2017-02-14 01:00:00-05:00
91.31,93.01,91.02,92.76,1510466,2017-02-15 01:00:00-05:00
92.88,93.99,92.07,92.41,593715,2017-02-16 01:00:00-05:00
92.44,92.8,91.57,91.92,1016681,2017-02-17 01:00:00-05:00
92.51,93.83,92.41,93.78,790165,2017-02-21 01:00:00-05:00
93.41,93.65,92.38,92.44,652884,2017-02-22 01:00:00-05:00
93.12,93.24,91.77,92.41,738585,2017-02-23 01:00:00-05:00
91.93,93.14,91.02,92.93,699996,2017-02-24 01:00:00-05:00
92.99,93.4,92.22,92.46,930582,2017-02-27 01:00:00-05:00
95.8,102.56,95.74,101.51,4246486,2017-02-28 01:00:00-05:00
102.9,104.33,102.0,102.66,2591772,2017-03-01 01:00:00-05:00
102.81,104.78,102.15,103.06,2040092,2017-03-02 01:00:00-05:00
103.4,105.2,103.08,104.77,1153370,2017-03-03 01:00:00-05:00
101.92,102.67,98.63,102.11,2329009,2017-03-06 01:00:00-05:00
102.11,104.82,101.57,103.79,1396714,2017-03-07 01:00:00-05:00
103.59,103.89,102.24,102.74,1285087,2017-03-08 01:00:00-05:00
102.96,103.37,102.03,102.5,1457145,2017-03-09 01:00:00-05:00
102.7,104.01,102.36,103.05,1422587,2017-03-10 01:00:00-05:00
102.58,104.55,102.15,104.5,1336579,2017-03-13 01:00:00-04:00
104.01,104.39,103.06,103.95,752577,2017-03-14 01:00:00-04:00
104.5,105.51,103.86,105.22,781737,2017-03-15 01:00:00-04:00
